Comment,Designator,Footprint,LCSC, LSLC, VEND#
"100nF","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C49678",""
"33nF","C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C1739",""
"10nF","C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C1710",""
"CP1","C4","Capacitor_SMD:CP_Elec_8x10",""
"TPSMB24A","D1","Diode_SMD:D_SMA","","","576-TPSMB24A"
"Conn_02x06_Odd_Even","J1","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"Conn_01x01","J3","Connector:1pin",""
"47K","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C17713",""
"1M","R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C17514",""
"4.7K","R3","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C17673",""
"10K","R4,R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""," C17414",""
"TLE7209-2R","U1","Package_SO:HSOP-20-1EP_11.0x15.9mm_P1.27mm_SlugDown_ThermalVias",""
